Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
213,University of DelawareUnited StatesCoursesEnquire,"19,426",16.2,10%,56:44:00
214,ESPCI ParisTechFranceCourses,481,6.3,14%,38 : 62
215,Florida State UniversityUnited StatesCoursesEnquire,"41,737",30.2,7%,55:45:00
216,George Washington UniversityUnited StatesCoursesEnquire,"21,409",12.4,15%,57:43:00
217,Goethe University FrankfurtGermanyCourses,"45,453",13.1,15%,58:42:00
218,University of Hawai’i at MānoaUnited StatesCoursesEnquire,"16,580",10.9,13%,56:44:00
219,University of IcelandIcelandCourses,"13,373",24,8%,66:34:00
220,Indian Institute of ScienceIndiaCourses,"3,398",8.3,1%,0.888888889
221,University of IowaUnited StatesCoursesEnquire,"27,807",11.6,12%,52:48:00
222,University of KielGermanyCoursesVerify Documents,"24,701",23.3,8%,54:46:00
223,King Abdulaziz UniversitySaudi ArabiaCoursesExplore,"37,178",8.3,21%,55:45:00
224,Korea UniversitySouth KoreaCoursesExplore,"22,739",15.5,16%,42:58:00
225,Université Libre de BruxellesBelgiumCoursesVerify Documents,"23,712",35,32%,54:46:00
226,Nanjing UniversityChinaCourses,"34,784",15.7,9%,42:58:00
227,"National University of Ireland, GalwayIrelandCourses","13,911",26.1,16%,56:44:00
228,University of NewcastleAustraliaCoursesEnquire,"23,838",22.7,18%,56:44:00
229,North Carolina State UniversityUnited StatesCoursesEnquire,"30,187",13.1,12%,45:55:00
230,University of OtagoNew ZealandCourses,"18,567",20.2,20%,57:43:00
231,University of OuluFinlandCoursesExplore,"10,089",23.5,7%,50:50:00
232,Paris Descartes UniversityFranceCourses,"32,978",24.4,15%,63:37:00
233,Paris Diderot University – Paris 7FranceCourses,"27,836",14.8,17%,63:37:00
234,Politecnico di MilanoItalyCoursesExplore,"33,486",25.3,13%,35 : 65
235,Queensland University of TechnologyAustraliaCoursesExplore,"34,398",36.3,17%,54:46:00
236,Queen’s UniversityCanadaCoursesEnquireExplore,"21,015",22.6,11%,58:42:00
237,Queen’s University BelfastUnited KingdomCoursesExplore,"17,348",16.1,32%,55:45:00
238,RCSI University of Medicine and Health SciencesIrelandCoursesExplore,"2,184",18.2,62%,n/a
239,Shanghai Jiao Tong UniversityChinaCoursesExplore,"36,535",12.3,6%,41:59:00
240,Simon Fraser UniversityCanadaCoursesExplore,"26,607",28.3,29%,55:45:00
241,University of South Florida (Tampa)United StatesCoursesEnquire,"32,016",19,11%,n/a
242,"St George’s, University of LondonUnited KingdomCoursesEnquire","3,077",14.5,16%,62:38:00
243,Stony Brook UniversityUnited StatesCoursesEnquire,"22,867",10.9,24%,49:51:00
244,University of StuttgartGermanyCoursesVerify Documents,"15,721",30.3,14%,30 : 70
245,University of Technology SydneyAustraliaCoursesExplore,"25,069",44,35%,52:48:00
246,Technical University of DarmstadtGermanyCourses,"20,719",51.9,18%,28 : 72
247,Tel Aviv UniversityIsraelCourses,"23,663",24,4%,n/a
248,University of Texas at DallasUnited StatesCoursesExplore,"17,825",25,25%,44:56:00
249,Tohoku UniversityJapanCourses,"17,349",5.4,9%,26 : 74
250,University of TrentoItalyCourses,"17,118",28.2,9%,52:48:00
251,University of UtahUnited StatesCoursesEnquire,"30,193",14.8,10%,45:55:00
252,Wake Forest UniversityUnited StatesCoursesEnquireAdmissions Support,"7,451",4.5,5%,50:50:00
253,Western UniversityCanadaCoursesEnquire,"28,060",21.6,16%,55:45:00
254,Zhejiang UniversityChinaCoursesExplore,"47,845",15.2,5%,41:59:00
255,École Normale Supérieure de LyonFranceCourses,"2,238",8.4,15%,46:54:00
256,University of BathUnited KingdomCoursesEnquireAdmissions Support,"11,765",16.5,30%,45:55:00
257,University of BayreuthGermanyCoursesVerify Documents,"12,709",37.8,7%,46:54:00
258,Bielefeld UniversityGermanyCourses,"22,279",69.6,8%,57:43:00
259,University at BuffaloUnited StatesCoursesEnquire,"26,418",18.8,21%,46:54:00
260,Chalmers University of TechnologySwedenCoursesVerify Documents,"8,819",11.9,15%,31 : 69
261,Charles Darwin UniversityAustraliaCoursesEnquire,"6,096",21.3,25%,66:34:00
262,Colorado School of MinesUnited StatesCoursesEnquire,"5,437",17.7,11%,27 : 73
263,Copenhagen Business SchoolDenmarkCoursesVerify Documents,"19,154",42.9,21%,48:52:00
264,Dalhousie UniversityCanadaCoursesEnquire,"15,293",14.9,19%,55:45:00
265,Deakin UniversityAustraliaCoursesEnquire,"34,968",31.1,17%,59:41:00
266,Free University of Bozen-BolzanoItalyCourses,"2,813",4.1,16%,67:33:00
267,University of FribourgSwitzerlandCourses,"10,701",46.2,18%,58:42:00
268,Griffith UniversityAustraliaCoursesExplore,"31,031",22.3,20%,56:44:00
269,University of HohenheimGermanyCoursesVerify Documents,"9,524",42.1,13%,57:43:00
270,James Cook UniversityAustraliaCoursesEnquire,"12,004",22.9,13%,63:37:00
271,Johannes Gutenberg University of MainzGermanyCourses,"35,215",31.5,10%,58:42:00
272,Koç UniversityTurkeyCourses,"4,793",14.6,9%,52:48:00
273,Université LavalCanadaCoursesExplore,"28,757",16.9,12%,57:43:00
274,Macquarie UniversityAustraliaCoursesExplore,"27,532",32.8,24%,55:45:00
275,University of MarburgGermanyCourses,"26,085",39,9%,56:44:00
276,Mines ParisTechFranceCourses,"1,289",5.5,26%,29 : 71
277,National Tsing Hua UniversityTaiwanCourses,"10,260",13.6,6%,33 : 67
278,Norwegian University of Science and TechnologyNorwayCoursesVerify Documents,"22,031",18.3,11%,48:52:00
279,Oregon Health and Science UniversityUnited StatesCoursesEnquire,"2,861",1.1,2%,65:35:00
280,Osaka UniversityJapanCourses,"23,087",7.6,9%,30 : 70
281,University of OttawaCanadaCoursesEnquireExplore,"34,946",25.3,15%,60:40:00
282,Rensselaer Polytechnic InstituteUnited StatesCoursesEnquireAdmissions Support,"6,829",15.5,17%,31 : 69
283,Ruhr University BochumGermanyCourses,"42,718",61.2,13%,49:51:00
284,Rush UniversityUnited StatesCoursesEnquire,"1,987",2.2,3%,71:29:00
285,Sapienza University of RomeItalyCourses,"115,327",31.8,7%,59:41:00
286,University of South AustraliaAustraliaCoursesEnquire,"19,996",29.6,33%,57:43:00
287,University of Southern DenmarkDenmarkCourses,"25,313",13.5,16%,53:47:00
288,University of SurreyUnited KingdomCoursesExplore,"10,377",13.3,38%,54:46:00
289,Swedish University of Agricultural SciencesSwedenCoursesVerify Documents,"3,838",4.6,%,68:32:00
290,Syracuse UniversityUnited StatesCoursesEnquireAdmissions Support,"19,930",16.1,17%,54:46:00
291,University of São PauloBrazilCourses,"83,201",14.7,4%,48:52:00
292,University of TampereFinlandCourses,"9,530",21.7,5%,66:34:00
293,The University of Tennessee-KnoxvilleUnited StatesCoursesEnquire,"26,988",17.8,4%,n/a
294,Tokyo Institute of TechnologyJapanCourses,"9,587",7.4,13%,0.602083333
295,Umeå UniversitySwedenCourses,"16,698",11.7,10%,60:40:00
296,TU WienAustriaCourses,"17,620",35.8,27%,29 : 71
297,Virginia Polytechnic Institute and State UniversityUnited StatesCoursesExplore,"30,850",18.1,10%,42:58:00
298,William & MaryUnited StatesCoursesEnquireAdmissions Support,"7,963",11.9,8%,55:45:00
299,University of WollongongAustraliaCoursesExplore,"16,581",25.5,24%,50:50:00
300,Yonsei UniversitySouth KoreaCourses,"22,469",11.9,20%,n/a
301,Aberystwyth UniversityUnited KingdomCoursesEnquire,"8,735",17.1,18%,47:53:00
302,Aix-Marseille UniversityFranceCourses,"74,345",19.6,13%,60:40:00
303,University of Alaska FairbanksUnited StatesCoursesEnquire,"3,875",8.4,7%,52:48:00
304,Anglia Ruskin University ARUUnited KingdomCoursesEnquire,"16,740",24.5,25%,61:39:00
305,Bangor UniversityUnited KingdomCoursesEnquire,"9,162",18.3,21%,55:45:00
306,University of BordeauxFranceCoursesExplore,"52,169",19.5,12%,58:42:00
307,University of BremenGermanyCoursesVerify Documents,"18,904",34.8,11%,50:50:00
308,Brunel University LondonUnited KingdomCoursesEnquire,"11,646",16.4,39%,46:54:00
309,Central European UniversityHungaryCourses,"1,298",5.8,77%,51:49:00
310,Clark UniversityUnited StatesCoursesEnquire,"3,239",11.7,25%,57:43:00
311,"Colorado State University, Fort CollinsUnited StatesCoursesEnquire","23,998",16.4,5%,53:47:00
312,University of ConnecticutUnited StatesCoursesEnquire,"26,109",12.6,7%,51:49:00
313,University of CreteGreeceCourses,"14,518",26.7,4%,62:38:00
314,University of DenverUnited StatesCoursesEnquire,"9,568",13.3,10%,57:43:00
315,University of EssexUnited KingdomCoursesEnquire,"10,154",18.3,44%,54:46:00
316,Federal University of Toulouse Midi-PyrénéesFranceCourses,"93,250",23.3,19%,54:46:00
